Block|DatabaseName|ServerName|RunAtUtc|SqlServerVersion
-----|------------|----------|--------|----------------
PREAMBLE|NexGenErpDb|DESKTOP-FIIBE97\SQLEXPRESS|2026-08-26 15:58:54.7695433|Microsoft SQL Server 2019 (RTM) - 15.0.2000.5 (X64) 
	Sep 24 2019 13:48:23 
	Copyright (C) 2019 Microsoft Corporation
	Express Edition (64-bit) on Windows 10 Pro 10.0 <X64> (Build 26200: ) (Hypervisor)

Block|TableName|IndexName|IndexType|IsUnique|IsPrimaryKey|IsUniqueConstraint|HasFilter|FilterDefinition|KeyColumns
BLOCK1-CONSTRAINTS|EnquirySalesSub|PK_EnquirySalesSub|CLUSTERED|1|1|0|0||EnquirySubId
BLOCK1-CONSTRAINTS|Estimate|PK_Estimate|CLUSTERED|1|1|0|0||EstiamateId
BLOCK1-CONSTRAINTS|EstimateSub|PK_EstimateSub|CLUSTERED|1|1|0|0||EstiamateSubId
BLOCK1-CONSTRAINTS|Expense|PK_Expense|CLUSTERED|1|1|0|0||ExpenseCode
BLOCK1-CONSTRAINTS|ExpInv|PK_ExpInv|CLUSTERED|1|1|0|0||ExpInvId
BLOCK1-CONSTRAINTS|ExpInvSub|PK_ExpInvSub|CLUSTERED|1|1|0|0||ExpInvSubId
BLOCK1-CONSTRAINTS|Factors|PK_Factors|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|FinalInspection|PK_FinalInspection|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|FinalInspectionRef|PK_FinalInspectionRef|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|FundTrans|PK_FundTrans|CLUSTERED|1|1|0|0||FundTransId
BLOCK1-CONSTRAINTS|Grouping|PK_Grouping|CLUSTERED|1|1|0|0||ID
BLOCK1-CONSTRAINTS|GroupingSub|PK_GroupingSub|CLUSTERED|1|1|0|0||ID
BLOCK1-CONSTRAINTS|HolidayList|PK_HolidayList|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|HRMasterSetting|PK_HRMasterSetting|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|HSNMaster|PK_HSNMaster|CLUSTERED|1|1|0|0||Slno
BLOCK1-CONSTRAINTS|Income|PK_Income|CLUSTERED|1|1|0|0||IncomeCode
BLOCK1-CONSTRAINTS|IncomingInspectionRef|PK_IncomingInspectionRef|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|IncomingInspections|PK_IncomingInspections|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|InspectionRef|PK_InspectionRef|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|InspectionSettings|PK_InspectionSettings|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|InstrumentDetails|PK_InstrumentDetails|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|InvoiceAutoRunningNumber|PK_InvoiceAutoRunningNumber|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Item|PK_Item|CLUSTERED|1|1|0|0||ItemId
BLOCK1-CONSTRAINTS|ItemCustomerAssign|PK_ItemCustomerAssign|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|ItemHistory|PK_ItemHistory|CLUSTERED|1|1|0|0||HistoryId
BLOCK1-CONSTRAINTS|ItemProductAssign|PK_ItemProductAssign|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|ItemSub|PK_ItemSub|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|JobOrder|PK_JobOrder|CLUSTERED|1|1|0|0||JobId
BLOCK1-CONSTRAINTS|JobOrderSub|PK_JobOrderSub|CLUSTERED|1|1|0|0||JobSubId
BLOCK1-CONSTRAINTS|LabInv|PK_LabInv|CLUSTERED|1|1|0|0||LabInvId
BLOCK1-CONSTRAINTS|LabInvSub|PK_LabInvSub|CLUSTERED|1|1|0|0||LabInvSubId
BLOCK1-CONSTRAINTS|LabourDcOutgoing|PK_LabourDcOutgoing|CLUSTERED|1|1|0|0||DcId
BLOCK1-CONSTRAINTS|LabourDcOutgoingSub|PK_LabourDcOutgoingSub|CLUSTERED|1|1|0|0||DcSubId
BLOCK1-CONSTRAINTS|LabourDcReturnCompTrack|PK_LabourDcReturnCompTrack|CLUSTERED|1|1|0|0||TrackId
BLOCK1-CONSTRAINTS|LabourGRN|PK_LabourGRN|CLUSTERED|1|1|0|0||GRNId
BLOCK1-CONSTRAINTS|LabourGRNSub|PK_LabourGRNSub|CLUSTERED|1|1|0|0||GRNSubId
BLOCK1-CONSTRAINTS|LabourSCN|PK_LabourSCN|CLUSTERED|1|1|0|0||SCNId
BLOCK1-CONSTRAINTS|LabourSCNSub|PK_LabourSCNSub|CLUSTERED|1|1|0|0||SCNSubId
BLOCK1-CONSTRAINTS|Leads|PK_Leads|CLUSTERED|1|1|0|0||LeadId
BLOCK1-CONSTRAINTS|LeaveApplication|PK_LeaveApplication|CLUSTERED|1|1|0|0||LeaveAppID
BLOCK1-CONSTRAINTS|LeaveType|PK_LeaveType|CLUSTERED|1|1|0|0||LeaveTypeId
BLOCK1-CONSTRAINTS|Machine|PK_Machine|CLUSTERED|1|1|0|0||MachineId
BLOCK1-CONSTRAINTS|MaintenanceProcess|PK_MaintenanceProcess|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|MaintenanceSchedule|PK_MaintenanceSchedule|CLUSTERED|1|1|0|0||ScheduleId
BLOCK1-CONSTRAINTS|MasterInspection|PK_MasterInspection|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|MaterialIssNote|PK_MaterialIssNote|CLUSTERED|1|1|0|0||MINId
BLOCK1-CONSTRAINTS|MaterialIssNoteSub|PK_MaterialIssNoteSub|CLUSTERED|1|1|0|0||MINSubId
BLOCK1-CONSTRAINTS|MaterialReq|PK_MaterialReq|CLUSTERED|1|1|0|0||MreqId
BLOCK1-CONSTRAINTS|MaterialReqSub|PK_MaterialReqSub|CLUSTERED|1|1|0|0||MreqSubId
BLOCK1-CONSTRAINTS|MfgDc|PK_MfgDc|CLUSTERED|1|1|0|0||DcId
BLOCK1-CONSTRAINTS|MfgDcSub|PK_MfgDcSub|CLUSTERED|1|1|0|0||DcSubId
BLOCK1-CONSTRAINTS|MfgInv|PK_MfgInv|CLUSTERED|1|1|0|0||InvId
BLOCK1-CONSTRAINTS|MfgInvSub|PK_MfgInvSub|CLUSTERED|1|1|0|0||InvSubId
BLOCK1-CONSTRAINTS|MfgPo|PK_MfgPo|CLUSTERED|1|1|0|0||PoId
BLOCK1-CONSTRAINTS|MfgPoSub|PK_MfgPoSub|CLUSTERED|1|1|0|0||PoSubId
BLOCK1-CONSTRAINTS|MfgQuote|IX_MfgQuote_QuoteNo_Suffix|NONCLUSTERED|1|0|0|0||QuoteNo, Suffix
BLOCK1-CONSTRAINTS|MfgQuote|PK_MfgQuote|CLUSTERED|1|1|0|0||QuoteId
BLOCK1-CONSTRAINTS|MfgQuoteSub|PK_MfgQuoteSub|CLUSTERED|1|1|0|0||QuoteSubId
BLOCK1-CONSTRAINTS|OfferLetter|PK_OfferLetter|CLUSTERED|1|1|0|0||OfferId
BLOCK1-CONSTRAINTS|OfferLetterSub|PK_OfferLetterSub|CLUSTERED|1|1|0|0||OfferSubId
BLOCK1-CONSTRAINTS|Payments|PK_Payments|CLUSTERED|1|1|0|0||PaymentId
BLOCK1-CONSTRAINTS|PaymentsSub|PK_PaymentsSub|CLUSTERED|1|1|0|0||PaymentSubId
BLOCK1-CONSTRAINTS|PerformaInv|PK_PerformaInv|CLUSTERED|1|1|0|0||InvId
BLOCK1-CONSTRAINTS|PerformaInvSub|PK_PerformaInvSub|CLUSTERED|1|1|0|0||InvSubId
BLOCK1-CONSTRAINTS|PoType|PK_PoType|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|PrintSetting|PK_PrintSetting|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|Process|PK_Process|CLUSTERED|1|1|0|0||ProcessId
BLOCK1-CONSTRAINTS|ProcessFlowChart|PK_ProcessFlowChart|CLUSTERED|1|1|0|0||SubId
BLOCK1-CONSTRAINTS|ProductionIssueAssy|PK_ProductionIssueAssy|CLUSTERED|1|1|0|0||IssueId
BLOCK1-CONSTRAINTS|ProductionIssueAssySub|PK_ProductionIssueAssySub|CLUSTERED|1|1|0|0||IssueSubId
BLOCK1-CONSTRAINTS|ProductionIssueComp|PK_ProductionIssueComp|CLUSTERED|1|1|0|0||IssueId
BLOCK1-CONSTRAINTS|ProductionIssueCompSub|PK_ProductionIssueCompSub|CLUSTERED|1|1|0|0||IssueSubId
BLOCK1-CONSTRAINTS|ProductionLog|IX_ProductionLog_InspectId|NONCLUSTERED|1|0|0|1|([InspectId] IS NOT NULL)|InspectId
BLOCK1-CONSTRAINTS|ProductionLog|PK_ProductionLog|CLUSTERED|1|1|0|0||LogId
BLOCK1-CONSTRAINTS|ProductionLogSetting|PK_ProductionLogSetting|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|ProductionLogSub|PK_ProductionLogSub|CLUSTERED|1|1|0|0||LogSubId
BLOCK1-CONSTRAINTS|ProductionReturnAssy|PK_ProductionReturnAssy|CLUSTERED|1|1|0|0||ReturnId
BLOCK1-CONSTRAINTS|ProductionReturnAssySub|PK_ProductionReturnAssySub|CLUSTERED|1|1|0|0||ReturnSubId
BLOCK1-CONSTRAINTS|ProductionReturnAssyTrack|PK_ProductionReturnAssyTrack|CLUSTERED|1|1|0|0||TrackId
BLOCK1-CONSTRAINTS|ProductionReturnComp|PK_ProductionReturnComp|CLUSTERED|1|1|0|0||ReturnId
BLOCK1-CONSTRAINTS|ProductionReturnCompSub|PK_ProductionReturnCompSub|CLUSTERED|1|1|0|0||ReturnSubId
BLOCK1-CONSTRAINTS|ProductionReturnCompTrack|PK_ProductionReturnCompTrack|CLUSTERED|1|1|0|0||TrackId
BLOCK1-CONSTRAINTS|ProductionSCNAssy|PK_ProductionSCNAssy|CLUSTERED|1|1|0|0||SCNId
BLOCK1-CONSTRAINTS|ProductionSCNAssySub|PK_ProductionSCNAssySub|CLUSTERED|1|1|0|0||SCNSubId
BLOCK1-CONSTRAINTS|ProductionSCNComp|PK_ProductionSCNComp|CLUSTERED|1|1|0|0||SCNId
BLOCK1-CONSTRAINTS|ProductionSCNCompSub|PK_ProductionSCNCompSub|CLUSTERED|1|1|0|0||SCNSubId
BLOCK1-CONSTRAINTS|ProjectTypeMaster|PK_ProjectTypeMaster|CLUSTERED|1|1|0|0||Id
BLOCK1-CONSTRAINTS|PurchaseGRN|PK_PurchaseGRN|CLUSTERED|1|1|0|0||GRNId
BLOCK1-CONSTRAINTS|PurchaseGRNSub|PK_PurchaseGRNSub|CLUSTERED|1|1|0|0||GRNSubId
BLOCK1-CONSTRAINTS|PurchaseInvoice|PK_PurchaseInvoice|CLUSTERED|1|1|0|0||InvId
BLOCK1-CONSTRAINTS|PurchaseInvoiceSub|PK_PurchaseInvoiceSub|CLUSTERED|1|1|0|0||InvSubId
BLOCK1-CONSTRAINTS|PurchaseQuote|PK_PurchaseQuote|CLUSTERED|1|1|0|0||QuoteId
BLOCK1-CONSTRAINTS|PurchaseQuoteSub|PK_PurchaseQuoteSub|CLUSTERED|1|1|0|0||QuoteSubId
